"v","e","s","t"
10000,4999500,3,1603312506
10000,4999500,0,2593890072
10000,4999500,1,163495
10000,4999500,2,1610162767
10000,4999500,3,1610430453
10000,4999500,0,2611693441
10000,4999500,1,159027
10000,4999500,2,1600810245
10000,4999500,3,1601074016
10000,4999500,0,2604041324
10000,4999500,1,159459
10000,4999500,2,1615973312
10000,4999500,3,1616239223
10000,4999500,0,2592524118
10000,4999500,1,159864
10000,4999500,2,1609224115
10000,4999500,3,1609484594
1000,124875,0,98141796
1000,124875,1,8740
1000,124875,2,24036987
1000,124875,3,24074987
1000,124875,0,68125927
1000,124875,1,8949
1000,124875,2,24008055
1000,124875,3,24042036
1000,124875,0,65828377
1000,124875,1,9103
1000,124875,2,24659092
1000,124875,3,24700602
1000,124875,0,65897938
1000,124875,1,8835
1000,124875,2,23946451
1000,124875,3,23980517
1000,124875,0,63142250
1000,124875,1,8725
1000,124875,2,24067323
1000,124875,3,24102756
1000,124875,0,66274711
1000,124875,1,8893
1000,124875,2,23986312
1000,124875,3,24022189
1000,124875,0,63666497
1000,124875,1,8947
1000,124875,2,23950885
1000,124875,3,23985598
1000,124875,0,65410787
1000,124875,1,8722
1000,124875,2,23940847
1000,124875,3,23975337
1000,124875,0,61871900
1000,124875,1,9045
1000,124875,2,23954700
1000,124875,3,23991658
1000,124875,0,64304227
