"v","e","s","t"
10000,4999500,1,3116068
10000,4999500,2,744917921
10000,4999500,3,751472448
10000,4999500,0,17978150606
10000,4999500,1,3289689
10000,4999500,2,701315021
10000,4999500,3,707979621
10000,4999500,0,17605823369
10000,4999500,1,2999116
10000,4999500,2,716950036
10000,4999500,3,724085556
10000,4999500,0,17570287517
10000,4999500,1,3429024
10000,4999500,2,739991049
10000,4999500,3,746903021
10000,4999500,0,18193591856
10000,4999500,1,3174199
10000,4999500,2,736371778
10000,4999500,3,743018467
10000,4999500,0,17755987394
10000,4999500,1,6794125
10000,4999500,2,724111104
10000,4999500,3,734868169
10000,4999500,0,18191640124
10000,4999500,1,3590001
10000,4999500,2,704975817
10000,4999500,3,714551032
10000,4999500,0,17954205818
10000,4999500,1,3556347
10000,4999500,2,700188899
10000,4999500,3,709787966
10000,4999500,0,17788600183
10000,4999500,1,3494267
10000,4999500,2,718485900
10000,4999500,3,725647481
10000,4999500,0,18122103500
10000,4999500,1,3133453
10000,4999500,2,707160657
10000,4999500,3,713814274
10000,4999500,0,17717367176
10000,4999500,1,3691035
10000,4999500,2,716909648
10000,4999500,3,727687013
10000,4999500,0,18042254521
10000,4999500,1,3174477
10000,4999500,2,705925353
10000,4999500,3,712547823
10000,4999500,0,18387575445
10000,4999500,1,3057929
10000,4999500,2,748470031
10000,4999500,3,755142584
10000,4999500,0,17805567214
10000,4999500,1,2879613
10000,4999500,2,745495287
10000,4999500,3,754389714
10000,4999500,0,18645776296
10000,4999500,1,3115390
10000,4999500,2,768837056
10000,4999500,3,775434316
10000,4999500,0,17702969556
10000,4999500,1,4207259
10000,4999500,2,788466470
10000,4999500,3,796294321
10000,4999500,0,17871834238
10000,4999500,1,3208837
10000,4999500,2,705054560
10000,4999500,3,711714557
10000,4999500,0,17732027783
10000,4999500,1,3118297
10000,4999500,2,721344427
10000,4999500,3,727933902
10000,4999500,0,17652921068
10000,4999500,1,3616074
10000,4999500,2,711716730
10000,4999500,3,718755341
10000,4999500,0,17588424288
10000,4999500,1,3366086
10000,4999500,2,717744712
10000,4999500,3,724739053
10000,4999500,0,17912629393
10000,4999500,1,2898556
10000,4999500,2,738694390
10000,4999500,3,745158978
10000,4999500,0,17836076628
10000,4999500,1,3455571
10000,4999500,2,715240986
10000,4999500,3,722179272
10000,4999500,0,18039592006
10000,4999500,1,3001495
10000,4999500,2,746303924
10000,4999500,3,754163134
10000,4999500,0,18353168522
10000,4999500,1,3524133
10000,4999500,2,705085097
10000,4999500,3,712097479
10000,4999500,0,17920613781
10000,4999500,1,3709803
10000,4999500,2,713401830
10000,4999500,3,723267986
10000,4999500,0,17996299075
10000,4999500,1,2977614
10000,4999500,2,704776198
10000,4999500,3,711596182
10000,4999500,0,17552861114
10000,4999500,1,3721194
10000,4999500,2,712078981
10000,4999500,3,725019160
10000,4999500,0,17527262933
10000,4999500,1,3804965
10000,4999500,2,712425623
10000,4999500,3,719672451
10000,4999500,0,18080335829
10000,4999500,1,3652197
10000,4999500,2,784863405
10000,4999500,3,794660017
10000,4999500,0,18752696429
10000,4999500,1,5798602
10000,4999500,2,719077524
10000,4999500,3,730482078
10000,4999500,0,17572934722
10000,4999500,1,3123493
10000,4999500,2,780219396
10000,4999500,3,786895398
10000,4999500,0,18944824926
10000,4999500,1,3647286
10000,4999500,2,739838779
10000,4999500,3,750230576
10000,4999500,0,17523503353
10000,4999500,1,3575936
10000,4999500,2,696896036
10000,4999500,3,708110744
10000,4999500,0,17683671624
10000,4999500,1,3568571
10000,4999500,2,739810186
10000,4999500,3,749223590
10000,4999500,0,17571068446
10000,4999500,1,3583199
10000,4999500,2,718573776
10000,4999500,3,725746754
10000,4999500,0,18456976756
10000,4999500,1,3162125
10000,4999500,2,716243018
10000,4999500,3,723119621
10000,4999500,0,17520417287
10000,4999500,1,2918593
10000,4999500,2,716522121
10000,4999500,3,724467500
10000,4999500,0,17483272528
10000,4999500,1,3770848
10000,4999500,2,734078510
10000,4999500,3,741328051
10000,4999500,0,17688414141
10000,4999500,1,3688684
10000,4999500,2,713995866
10000,4999500,3,724993722
10000,4999500,0,18193918164
10000,4999500,1,4568498
10000,4999500,2,742833915
10000,4999500,3,751363741
1000,124875,0,584298258
1000,124875,1,1285979
1000,124875,2,77474983
1000,124875,3,81175625
1000,124875,0,605488586
1000,124875,1,1262487
1000,124875,2,70309664
1000,124875,3,75178987
1000,124875,0,571734922
1000,124875,1,1325222
1000,124875,2,42815622
1000,124875,3,46601333
1000,124875,0,571515050
1000,124875,1,2458117
1000,124875,2,72457544
1000,124875,3,77509941
1000,124875,0,614946496
1000,124875,1,1344823
1000,124875,2,70912122
1000,124875,3,74588327
1000,124875,0,619297301
1000,124875,1,1808924
1000,124875,2,70357767
1000,124875,3,74524245
1000,124875,0,611289230
1000,124875,1,1269532
1000,124875,2,65159511
1000,124875,3,68730183
1000,124875,0,601218296
1000,124875,1,2653788
1000,124875,2,54360313
1000,124875,3,59368405
1000,124875,0,576485129
1000,124875,1,1317572
1000,124875,2,57462982
1000,124875,3,61149027
1000,124875,0,609699158
1000,124875,1,5841216
1000,124875,2,49937516
1000,124875,3,59044408
1000,124875,0,580790794
1000,124875,1,1444102
1000,124875,2,69587038
1000,124875,3,73804564
